Index;Scene;Character_name;Character_gender;Dialogue
39;3;Atreus;Male;I got it.
40;3;Kratos;Male;I will get the deer…
41;3;Atreus;Male;Go on, girls.
42;4;Atreus;Male;It's okay, boy. You're okay I know. I missed you too. Where's your food? Still hungry? Come on boy. You need to eat. Eat. What? too big? There you go. Good boy.
43;4;Kratos;Male;Atreus.. The time draws near. You must prepare yourself.
44;4;Atreus;Male;For what? he's still eating. he wants to live.
45;4;Kratos;Male;He is dying.
46;4;Atreus;Male;You're a good boy... a brave boy. Fast and strong.. But you can rest now. Okay? I'll be okay… You can let go now. You have to let go. Sofna… upp frá pessu.. Sofna hedan.. Sofna… sofna… sofna
47;4;Kratos;Male;Come. We train.
48;4;Atreus;Male;What? No. it's the middle of the night.
49;4;Kratos;Male;Night does not stop our enemies.
50;4;Atreus;Male;Why? What for? Training is all we ever do. Ever! It's not enough. We can't hide forever.
51;4;Kratos;Male;We do not hide.. We prepare for a fight for which we are not ready. Now go.
52;4;Atreus;Male;Time is running out. The prophecy say Fimbulwinter leads to Ragnarok. War is coming. Whatever Loki's supposed to be doing he's supposed to be doing it now. My story doesn't end hiding in these woods. I should be out there finding out who I am.. who Loki is.
53;4;Kratos;Male;I will not allow you to pick a fight with gods.
54;4;Atreus;Male;I don't want to fight anyone. I just want answers.
55;4;Kratos;Male;And if those answers lead to war with Asgard?
56;4;Atreus;Male;maybe that's what mother wanted…
57;4;Kratos;Male;We do not know what Mother wanted.
58;4;Atreus;Male;Looks like we never will. Look, can I have a moment alone with Fenrir before I bury him?
59;5;Mimir;Male;Well, I'd recognize that dour expression anywhere. Care to tell me what went wrong?
60;5;Kratos;Male;The wolf is gone.
61;5;Mimir;Male;Aw, no not Fenrir… How's the lad taking it?
62;5;Kratos;Male;Not well. He goes to bury him.
63;5;Mimir;Male;Ah, damn it All right brother good night then.
64;6;Faye;Female;Kratos? Are you joining me?
65;6;Kratos;Male;Faye?
66;6;Faye;Female;Are you ready? You walk as though Ymir himself sits atop your shoulders
67;6;Kratos;Male;This is your hunt. I will follow.
68;6;Faye;Female;Very well, Grumbles A fresh kill.. At least it didn't suffer. Am I to decipher your grunting? Tell me your thoughts.
69;6;Kratos;Male;We hunt a predator.
70;6;Faye;Female;A wolf, yes.
71;6;Kratos;Male;Predators kill. It is the natural order of things.
72;6;Faye;Female;Your words are misguided. Approach slowly. It's okay little one. We want to help. Don't we? No no. Don't. Come on. The sick wolf we found beyond our stave. He found his way inside as I said he would. We should have acted.
73;6;Kratos;Male;It was not our concern. Now it is.
74;6;Faye;Female;A problem doesn't have to reach our doorstep for it to be our responsibility. If we have the power to limit the harm it could cause, we should act. Who are we to hide and do nothing?
75;6;Kratos;Male;We are not hiding.
76;6;Faye;Female;Gonna make me pick that one up? Good boy. This way.
77;6;Kratos;Male;Faye! Faye? Faye! Faye!
78;6;Faye;Female;Time is running out, my love. And there is much to do.
79;7;Mimir;Male;Brother! Brother! Brother?
80;7;Kratos;Male;Where is Atreus?
81;7;Mimir;Male;Hence my bellowing.He never came back from burying the wolf. It's been some time…
82;7;Kratos;Male;He cannot be far.
83;7;Mimir;Male;Use your words brother.
84;7;Kratos;Male;The tracks stop here…
85;7;Mimir;Male;and we're not alone.
86;7;Kratos;Male;A bear… mauled.
87;7;Mimir;Male;By what?
88;7;Kratos;Male;A larger bear. Wounded. The fight destroyed the tree. We must find Atreus.
89;8;Kratos;Male;Atreus! Where are you? Atreus? Atreus! Atreus! Atreus… Atreus…
90;8;Atreus;Male;What…?
91;8;Kratos;Male;First, focus. Heal.
92;8;Atreus;Male;What happened?
93;8;Kratos;Male;You do not remember?
94;8;Atreus;Male;I buried Fenrir. and then.. I'm, I'm not sure. I was so sad and then I was angry. Then scared. I remember… running. There was a bear. Charging and I charged back? But that had to be a dream…
95;8;Kratos;Male;Your emotions… they transformed you.
96;8;Atreus;Male;I I didn't know I could do that.
97;8;Kratos;Male;You did not do anything… They overcame you. This is why we must not abandon your training. We do not know the reach of your abilities. They will be dangerous without discipline to control them.
98;8;Atreus;Male;You've already taught me discipline. I need more than that. I need answers. Answers you don't have.
99;8;Kratos;Male;Answers only your mother had. Answers she withheld.
100;8;Atreus;Male;What if there was someone who could help us? Someone that could give us answers about the Giants and who Loki's supposed to be…
101;8;Kratos;Male;Atreus…
102;8;Atreus;Male;Wouldn't that help to understand what I'm becoming? latreyas listen to m
103;8;Kratos;Male;Atreus! Listen to me. I might have killed you. Until you learn control, we will take more unnecessary risks.
104;8;Atreus;Male;Inaction is also a risk. You taught me that. Stop thinking like a father for a moment and start thinking like a General.
105;8;Kratos;Male;NO! No. Collect yourself. This one.
106;8;Atreus;Male;Ásjá. I didn't mean to...
107;8;Kratos;Male;Intent does not matter. Only consequences.
108;8;Atreus;Male;What.. what can we do?nothin
109;8;Kratos;Male;Nothing. Nature will take its course.
110;9;Mimir;Male;As evening's go, that was entirely too eventful. Though I admit it was a bit like all times there, for a moment. The three of us navigating some hitherto-unhappened-upon patch of forest.. Been a while since you've joined us, if that's what you mean. Oh, well.. just tired, I suppose. You've seen one deer hunt you've seen them all.
111;9;Atreus;Male;How can you feel tired when you never sleep?
112;9;Mimir;Male;Now have a proper rest, my brothers. Things are always brighter in the morning.
113;10;Atreus;Male;What was that?!
114;10;Kratos;Male;Your bow! WHO ARE YOU?
115;10;Thor;Male;Can I come in? I have mead.
116;10;Kratos;Male;You would not find me good company.
117;10;Thor;Male;Oh. I'm sure we'll find lots to talk about. Nice place. You could have told me before I poured.
118;10;Kratos;Male;Why are you here?
119;10;Thor;Male;Just uh, being polite. You seem like a calm and reasonable person. Are you... a calm and reasonable person?
120;10;Kratos;Male;If the moment calls for a calm.
121;10;Thor;Male;I'd say the moment calls for calm, yeah.
122;11;Odin;Male;You know who I am. Back before winter set in, there were some misunderstandings.. incredible ones. But I think we all have a better idea of who we're dealing with. Now, what you did to his boys ..self-defense. Dying is what we Aesir live for. And let's be honest they were kind of useless but Baldur he had value. He was my best tracker. My closer. yeah his mind was gone sure but he had his uses and now he's gone because of you you follow me you have a debt you're no fun anymore
123;11;Kratos;Male;what do you want
124;11;Odin;Male;how about peace how does peace strike the esteemed retired God of War how about we just don't kill each other how about you stay home kick up your feet seek no quarrel with me and I'll have none with you of course it means that that one that one has to stop his search for tear
125;11;Kratos;Male;yeah we know what you've been up to stop it
126;11;Odin;Male;Tyr's old ways are dead he is dead you understand and then that's it then we are square. Shit I'll even sweeten the deal I'll let you keep the prisoner that I know you stole that's right I know you're in here somewhere your silver tongue little shit
127;11;Mimir;Male;why should we believe a word out of you What have your promises ever been worth?
128;11;Odin;Male;there he is my old partner in crime
129;11;Thor;Male;he's lost weight
130;11;Mimir;Male;if he tells you snow is white he's lying
131;11;Odin;Male;what kind of wisdom is that can't the smartest head alive see past himself see that we all want the same thing all right here's the deal I know you can trust I'll settle your debt with my ex keep Freya off your back keep your boy safe that's really all you want isn't it so what do you say
132;11;Kratos;Male;no
133;11;Odin;Male;don't take all day
134;11;Thor;Male;about time
135;12;Thor;Male;I've been waiting for this you're not from here we got a tradition called blood payments it means I get a piece of you for what you took from my family you'll pick it up You spiton my sons memories. I can't believe they lost to you.
136;12;Kratos;Male;You know my past?
137;12;Thor;Male;The "Ghost of Sparta"thing? Yeah.
138;12;Kratos;Male;Then you know what I am capable of.
139;12;Thor;Male;Show me. That is for Magni. sorry about your statute Tyr you preachy old stiff Was it luck? Did my sons die to blind, fucking luck? Dumbass You think you can come here, become a daddy, get a clean slate? That ain't how it works, you are a destroyer like me oh no I say when we're done I'm not leaving till I see the real you get up This is for Modi!
140;12;Kratos;Male;you put him last even in death
141;12;Thor;Male;the fuck you say
142;12;Kratos;Male;Modi sought us in fear of you he died of the woods you gave him
143;12;Thor;Male;oh we got a model Father here this feels familiar This is the God that murdered a pantheon because they hurt this feelings? Clever clever won't beat me I see why my sons fell to you even missed this lesser version of you but I am not my sons and your boy All-father has plans for him there he is there's the God of War considering your blood debt paid. Be seeing ya.
144;13;Brok;Male;told you he'd make it
145;13;Sindri;Male;Kratos it's syndrome that was quite a fight can we
146;13;Kratos;Male;Home now Odin is with atreus
147;13;Sindri;Male;oh no
148;13;Brok;Male;hey one last thing there tiny if you got Aesir at your door then I reckon your protection stave's busted once you chase Odin off you got another place to lay your head tonight and I don't mean that talking fella fella
149;13;Kratos;Male;I will not abandon my home
150;13;Brok;Male;oh yeah and wants to stop the All-Fucker from spying on you or raven-pecking your house to splinters while you're asleep in it nothing that's what you go get your boy and I'll speak to a certain someone about putting you up in his place in a pinch
151;14;Mimir;Male;Brother!
152;14;Atreus;Male;I was about to look for you
153;14;Kratos;Male;Are you hurt?
154;14;Atreus;Male;are you
155;14;Kratos;Male;what does he want
156;14;Atreus;Male;to uh pay for the roof and he invited me to Asgard
157;14;Mimir;Male;Did he? I couldn't hear once he went outside
158;14;Atreus;Male;I told him no obviously
159;14;Kratos;Male;good why were you searching for Tyr?
160;14;Atreus;Male;if I had told you I was looking for him you would have said not to
161;14;Kratos;Male;so you hid the truth for me
162;14;Atreus;Male;I wanted to tell you I really did but now that you know there's something you should see
163;14;Kratos;Male;No
164;14;Atreus;Male;Just trust me you want to
165;14;Kratos;Male;Trust?  you have broken my trust
166;14;Atreus;Male;then let me regain it let me show you what I found besides we haven't seen the last of Odin or Thor and clearly they can just walk in and blast holes in our home whenever they want there's only one way to get them off our backs And I think I know how sir
167;14;Kratos;Male;show me gather your things
168;15;Kratos;Male;are you ready go
169;15;Mimir;Male;and keep that change you bastard
170;15;Atreus;Male;you watching
171;15;Mimir;Male;well that's new
172;15;Atreus;Male;come on
173;15;Kratos;Male;Atreus wait
174;15;Mimir;Male;yeah I don't think he's waiting what is this lad? where are we?
175;15;Atreus;Male;Somewhere Only Giants were meant to see these shrines tell their stories to the world but it turns out the real stories the secret stories those they kept here inside you remember the story of Skoll and Hati the Wolf-Giants Odin captured them because he thinks it'll help him control when Ragnarok starts
176;15;Kratos;Male;I remember
177;15;Atreus;Male;but that's not the whole story see this shows the giant setting Skoll and Hati free
178;15;Mimir;Male;they are fre is this the past or the future?
179;15;Atreus;Male;depends when you're looking at it
180;15;Mimir;Male;spoken like a giant
181;15;Atreus;Male;see the wolves are safe somewhere in Vanaheim
182;15;Mimir;Male;it's not the first place Odin would look I suppose
183;15;Atreus;Male;there they are chasing the sun and moon
184;15;Mimir;Male;old habits
185;15;Atreus;Male;until look the moon gets stolen somehow
186;15;Kratos;Male;Atreus
187;15;Atreus;Male;see Hati's got nothing to chase
188;15;Mimir;Male;and they say celestial theft is a victimless crime
189;15;Atreus;Male;not totally sure who this is but someone comes along and rescues the moon then the moon blocks out the sun
190;15;Mimir;Male;a total eclipse I haven't seen one of those in a hundred winters
191;15;Atreus;Male;but then they chase an arrow and things go back to normal
192;15;Kratos;Male;what does any of this have to do with
193;15;Atreus;Male;we are coming to that look here's Ragnarok do you see who's leading the armies against Odin that's a Tyr! if he's gonna be around at Ragnarok that means he's got to be alive right
194;15;Kratos;Male;Mimir can this be?
195;15;Mimir;Male;Odin told me he killed Tyr and he trusted me at the time or so I thought
196;15;Atreus;Male;what if he didn't kill him what if he's just hadn't locked up some more all this time
197;15;Kratos;Male;we are back to "ifs", enough
198;15;Atreus;Male;wait
199;15;Kratos;Male;we are going home
200;15;Atreus;Male;wait I have one more thing to show you it's just out here
201;16;Kratos;Male;what is this
202;16;Atreus;Male;everything I found well almost everything
203;16;Mimir;Male;fast Giant craftsmanship you've been to Jotunheim again?
204;16;Atreus;Male;no I found it in one of the other shrines
205;16;Kratos;Male;"Other shrines"? how many have you visited
206;16;Atreus;Male;I well all of them all the ones I could still get to in Midgard anyway I don't know what it is but it's important just like all this when I was inside one of the shrines I saw an image of Tyr imprisoned but I couldn't tell where there are hints inside the other shrines you mentioned black smoke and the bleeding Earth but we can never figure out exactly
207;16;Kratos;Male;We
208;16;Atreus;Male;yeah Sindri's been helping me look I talked him into it it wasn't his idea I just needed someone to watch my back
209;16;Kratos;Male;black smoke beating earth could the prison be in Muspelheim?
210;16;Mimir;Male;unlikely Odin's got no presence to speak of in the primordial realms but the bleeding earth sounds like a mine aye?
211;16;Kratos;Male;the realm of the Dwarves perhaps
212;16;Mimir;Male;Svartalfheim, that's a good bet. Their mines did belch black smoke. and Odin's had his thumb on the Dwarves for a very long time
213;16;Atreus;Male;that's it then Tyr's in Svartalfheim somewhere imprisoned in a mine so what now
214;16;Kratos;Male;Home
215;17;Atreus;Male;Sindri!
216;17;Sindri;Male;As I live and breath is that Atreus it's been so long oh how you've grown
217;17;Atreus;Male;uh oh yeah
218;17;Sindri;Male;well if you'll follow me
219;17;Atreus;Male;where are we going this
220;17;Sindri;Male;the cleanest cabin in all the Nine Realms and I'd prefer it to stay that way not looking at anyone in particular Kratos
221;17;Kratos;Male;Hrmph
222;17;Sindri;Male;after that Thor incident we thought we should make up some rooms until you can figure out your next moves nearly there come in come in now if you would just wipe your feet very thoroughly I'll wait you're not gonna wipe your feet are you okay then your bedrooms are there the kitchen is just over there any anybody need a snack Kratos snack?
223;17;Kratos;Male;I do not need a snack
224;17;Atreus;Male;what we need is your help getting to Svartalfheim so we can try and rescue Tyr
225;17;Sindri;Male;T-Tyr? alive I mean that's what
226;17;Atreus;Male;it's okay I told him everything
227;17;Sindri;Male;Everything?
228;17;Kratos;Male;you aided my son disobeying me
229;17;Sindri;Male;no I I kept an eye on him on your behalf nothing risky everything very safe somebody else speak what's important
230;17;Atreus;Male;right now is that we try and open up travel between Realms again you said you know a way
231;17;Sindri;Male;yes I do I just it's just there's it's just a lot of mud
232;17;Mimir;Male;Then why haven't you opened the way already man
233;17;Sindri;Male;well to be frank there was something we needed your help with
234;17;Mimir;Male;Oh-ho! the Huldra Brothers finally require the services of the Smartest Man Alive
235;17;Sindri;Male;that's it precisely
236;18;Brok;Male;Hey! Not so fast! how'd that get in here What in the Hel is it anyway?
237;18;Kratos;Male;That is my son
238;18;Brok;Male;well what in all Jarnsmida happened to him? He's too damn tall now and he looks like that I blame you. Well come on then let's get him something that fits at least
239;18;Mimir;Male;he's just getting older you daft prat didn't you ever have an awkward phase in your youth
240;18;Atreus;Male;Hey
241;18;Brok;Male;I suppose what's done is done but you'll be putting your foot down from now on if you know what's good
242;18;Mimir;Male;oh he's trying believe me
243;18;Brok;Male;all right let's gear you fuckers up before you go off gallavanting
244;18;Kratos;Male;do you know this
245;18;Brok;Male;Hmm. busted up good wouldn't you rather I just whip you up a new one
246;18;Kratos;Male;It is  important to me
247;18;Brok;Male;well I'll see what I can do in the meanwhile how about I fix you up with something to get you by
248;19;Kratos;Male;how do we unlock the Realms
249;19;Sindri;Male;we'll just need something from back at the workshop follow me and be sure to bring the head
250;19;Mimir;Male;Hmph
251;19;Sindri;Male;so where exactly is Tyr being held
252;19;Atreus;Male;he is imprisoned in a mine somewhere that's all we know so far
253;20;Sindri;Male;We will just need the Bifrost and head. Brok do the touching
254;20;Mimir;Male;Ah, this would be the part requiring my assistance then
255;20;Sindri;Male;you said it this device here has been crafted to your measurements it'll help you get a better look at the problem with those Bifrost eyes of yours
256;20;Mimir;Male;so I do I control this thing somehow then
257;20;Sindri;Male;oh no no no no no no no no this is just to hold you in place while we shine this light in your eyes
258;20;Mimir;Male;Argh! Sindry you sodding bastard
259;20;Brok;Male;Hoooohohohohohoho!
260;20;Sindri;Male;open open now I was really hoping not to use the eyelid clamps
261;20;Brok;Male;do it! Aaaahahahahah!
262;20;Mimir;Male;Augh!
263;20;Sindri;Male;that's it that's it good. Now release!
264;20;Mimir;Male;Still unpleasant
265;20;Sindri;Male;oh that's our cue come on hurry
266;20;Brok;Male;I'm coming I'm coming
267;20;Mimir;Male;Hraesvelgr's EGGS, man, what was that for?
268;20;Sindri;Male;you'll see soon enough just need to adjust there! That should do it see no permanent damage
269;20;Mimir;Male;I'll show you permanent damage ya wee fuck! Kratos! throw me out to him. Horns first!
270;20;Brok;Male;Aww can't you takes a joke you old goat?
271;21;Kratos;Male;the Bifrost is broken
272;21;Sindri;Male;now that we've reconfigured these gateways to use Yggdrasil Seeds you won't need a travel table or a Bifrost lamp anymore!
273;21;Kratos;Male;I also used it for light
274;21;Sindri;Male;okay good note I'll figure something out but first come on let me show you how it works This should take you to the wetlands outside Nidavellir City just make your way to the town square and ask for Durlin at the tavern
275;21;Atreus;Male;you sure they'll know him at the tavern
276;21;Sindri;Male;Durlin's always been an inveterate inebriate I suppose he might have completely changed but in my experience eh
277;21;Atreus;Male;did you want to come with us
278;21;Sindri;Male;oh I might drop in but the wetlands are moist and the Grim are everywhere hostile slimy foul-smelling creatures but good luck
279;21;Atreus;Male;thanks wait what
280;21;Sindri;Male;I said good luck
281;21;Atreus;Male;whoa. Do you feel that?
282;21;Mimir;Male;what's that lad
283;21;Atreus;Male;anything everything. It's warm!
284;22;Atreus;Male;I still can't believe Mom let a whole rebellion here against Odin and never talked about it
285;22;Mimir;Male;the fact that it didn't go well might have curbed that notion
286;22;Kratos;Male;what your mother did before we met was her business
287;22;Atreus;Male;did you ever ask
288;22;Kratos;Male;Eyes on the water there are resources
289;22;Atreus;Male;if you never ask mom about what she used to do what did you talk about when you met like did you just say woman guard the house I will go to catch fish in the river and then leave for five days
290;22;Kratos;Male;no your mother was far better at fishing than I
291;22;Atreus;Male;Uhhh, did you see that over there?
292;22;Kratos;Male;that wheel is blocking the channel
293;22;Mimir;Male;I imagine if you can turn it we should be able to get through
294;23;Atreus;Male;that earthquake earlier you think there will be another one
295;23;Mimir;Male;it's unlikely but geological disturbances tend to be unpredictable
296;23;Atreus;Male;If the geysers and smell here are worse because of Fimbulwinter maybe the earthquakes are too
297;23;Mimir;Male;Aye, you might be on to something lad
298;23;Kratos;Male;Atreus! look ahead
299;23;Atreus;Male;wow now this looks like a city
300;23;Mimir;Male;welcome to Nidavellir brothers
301;23;Atreus;Male;hey Dwarves oh they're uh running away
302;23;Kratos;Male;An alarm
303;23;Mimir;Male;I'd only sounded alarm like that if I still had my body and was fearing the notion of being detached from it
304;23;Atreus;Male;Why all that for us though
305;23;Kratos;Male;they are scared
306;23;Mimir;Male;Most definitely an alarm I'm afraid
307;23;Atreus;Male;why is everybody hiding
308;23;Kratos;Male;Stay alert
309;24;Kratos;Male;What is it Dwarf?
310;24;Sindri;Male;you know I'm glad I came back here at least once before Ragnarok oh if these cobblestones could talk then they'd have mouths filthy disgusting mouths do you mind if I fiddle with your bow Ucch, you're a long overdue for a replacement taking advantage of certain materials ow! structural sensitivity to Sonic vibrations has been something. Ugh! I've been meaning to try for quite some time now
311;24;Atreus;Male;thanks for uh finally trying it What's it gonna be this time
312;24;Sindri;Male;patience I find it's best to see these things oh in action ah Hooo! There. oh take aim at that gate there but before you loose say "skjalfa" Skjalfa!
313;25;Atreus;Male;I think that's him hello
314;25;Raeb;Male;watch yourselves apparently there are intruders about
315;25;Atreus;Male;Oh that's us I think
316;25;Raeb;Male;Eh well if you're planning on killing me at least let me finish this song that alarm was in just the perfect key
317;25;Atreus;Male;we're just looking for a friend of ours named Durlin.
318;25;Raeb;Male;well we both know that's not true Durlin's got no friends left but if that's all you need head out the back way there and you'll see the safety office just across the river just don't go making trouble for the rest of us and while you travel through this realm maybe you could clean up the heads mess
319;25;Kratos;Male;what mess
320;25;Mimir;Male;later brother
321;25;Kratos;Male;I wish to hear of this mess
322;25;Raeb;Male;the rigs in the bay why don't you ask the condescending skull
323;25;Mimir;Male;head I've got skin but he's right I made a mistake I'd have a shut them down
324;26;Sindri;Male;sorry one more thing although these are gifts I'm giving to you so I shouldn't be sorry and you should be thankful anyways here please be careful
325;26;Atreus;Male;it's beautiful thanks Sindri
326;26;Sindri;Male;it is beautiful isn't it it's also very useful you'll be able to find anything your heart desires with it
327;26;Atreus;Male;Really?
328;26;Sindri;Male;as long as your heart desires of location your father and you decide and plot to travel together then yes
329;26;Kratos;Male;it is a compass
330;26;Sindri;Male;ah but a beautiful compass now scamper off
331;27;Atreus;Male;we're looking for Durlin
332;27;Durlin;Male;you have an appointment
333;27;Atreus;Male;uh no has anyone ever had an appointment here
334;27;Durlin;Male;Here to collect on something pal? think parading a severed head around on your hip is going to scare me into somehow approving Estrid's accretion proposal eh?
335;27;Kratos;Male;we are looking for a prisoner of Odin's
336;27;Atreus;Male;he's being kept in a mine somewhere some friends of ours said that you could help
337;27;Durlin;Male;where did you get You chop her head off with that too eh?
338;27;Kratos;Male;she was my wife
339;27;Durlin;Male;Dínner and I wondered where she went after our little coup here failed.
340;27;Atreus;Male;failed?
341;27;Durlin;Male;Yeah, come come. Failed
342;27;Kratos;Male;Faye is dead
343;27;Durlin;Male;The best of them are ones left alive have to pay the price I am afraid I can't help you with your little prisoner situation
344;27;Atreus;Male;but he could have answers on how to stop Odin and free Svartalfheim from the Aesir
345;27;Durlin;Male;I'm not in the business of crossing the All-Father anymore. Wait! before you go Take this
346;27;Atreus;Male;what is it?
347;27;Durlin;Male;a fine hygiene code violation for improper transport of a rotting head. Two demerits for speaking the All-Father's given name and uh, yeah for fucking up my desk
348;27;Atreus;Male;A fine?
349;27;Durlin;Male;Pay it at your leisure okay? get out of my office
350;28;Mimir;Male;Heimdall there's a name I don't miss hearing
351;28;Kratos;Male;No one said it until you did just now
352;28;Mimir;Male;Durlin! He didn't need to say it, brother, it was written all over his face er well burned I should say. Into his head
353;28;Atreus;Male;He burned that into Durlin's head?
354;28;Mimir;Male;Failed rebellions tend to warrant swift and enduring retribution
355;28;Kratos;Male;He is a captain of Odin?
356;28;Mimir;Male;Aye and the bearer of Gjallarhorn A true believer that one There are a few things so dangeours in a man as lack of doubt
357;28;Atreus;Male;seems like we're here come on Whoa is that a dreki? what happened here
358;28;Kratos;Male;use caution
359;28;Atreus;Male;I think it's dead yep definitely dead hey I wonder if
360;28;Kratos;Male;Atreus!
361;28;Atreus;Male;Ready!
362;28;Kratos;Male;Your knife!
363;28;Atreus;Male;Together!
364;29;Kratos;Male;the kraken hatchling gave you a stone
365;29;Atreus;Male;Kraken?  oh uh Dínner? yeah it's covered in algae I was thinking we could show it to Brok and Sindri when we got back. Here. Okay so we came here looking for Tyr because we don't trust Odin right if you think about it war could. Uh-oh. on your left your right
366;29;Kratos;Male;Gah!
367;29;Atreus;Male;Tell me when!
368;29;Mimir;Male;Atreus! Look for a brack to stop the train! Should be a level of some sort!
369;29;Atreus;Male;Found it! RRNNNG! The brake's stuck
370;29;Mimir;Male;Keep trying little brother
371;29;Atreus;Male;Father!
372;29;Kratos;Male;Stop this train!
373;29;Atreus;Male;Ithink it's about to AHHHK!
374;29;Kratos;Male;no
375;29;Atreus;Male;Shit! Shitshitshitshitshit!
376;29;Kratos;Male;NGH!
377;29;Atreus;Male;OOF
378;29;Kratos;Male;get up Gah!
379;29;Atreus;Male;Father! A troll?! I can't believe we survived are you serious
380;30;Sindri;Male;got something else for you
381;30;Atreus;Male;Sindri!
382;30;Kratos;Male;what is it
383;30;Sindri;Male;since you're currently lacking a light source sorry and have no way of seeing exactly what untold horrors lurk in the dark these will help okay back to your exploring now off with you
384;30;Atreus;Male;thanks Sindri hey wait what do you mean by untold horrors
385;31;Atreus;Male;Tyr!
386;31;Tyr;Male;What trickery is this Odin? what game do you play with me now
387;31;Atreus;Male;we're not with Odin we're the good guys
388;31;Kratos;Male;This is the god of war?
389;31;Tyr;Male;Those blades? I know you God-Killer Have you come from me now?
390;31;Kratos;Male;only to free you
391;31;Tyr;Male;stay away!
392;31;Mimir;Male;brother let me try Tyr! Tyr! look you know me don't you?
393;31;Tyr;Male;you killed Mimir!
394;31;Mimir;Male;no no no no no no
395;31;Atreus;Male;Yeah we, we we brought him right back
396;31;Tyr;Male;You stay away from me you monsters
397;31;Atreus;Male;Stop! we need him!
398;31;Kratos;Male;Wait!
399;32;Tyr;Male;just leave me alone
400;32;Atreus;Male;Tyr listen I swear we're not here to hurt you we're just trying to get you out
401;32;Tyr;Male;Get away from me please, I beg you show mercy
402;32;Atreus;Male;Take you somewhere safe away from Odin this is my father we help people
403;32;Tyr;Male;I don't belong out here please it's worse when he's angry
404;32;Atreus;Male;Father!
405;32;Kratos;Male;Are you not a soldier? are you not a leader of men? Master yourself! my son brought us to this place for you look at him
406;32;Tyr;Male;you? Why? you don't know me
407;32;Atreus;Male;I know what you stood for you helped the Giants we're returning the favor
408;32;Tyr;Male;We?
409;32;Kratos;Male;we are leaving are you coming with us
410;32;Atreus;Male;here your statue in the lake you had a spear I thought you needed a
411;32;Tyr;Male;walking stick No. A kind thought but no thank you no
412;32;Atreus;Male;But. Okay
413;32;Tyr;Male;I I ran because I don't always know what's real Eh, sometimes there's a I, uh
414;32;Mimir;Male;There is no shame in that brother we live in strange times
415;32;Tyr;Male;everyone hears him talk
416;32;Kratos;Male;we must return home
417;33;Tyr;Male;before we go any further the truth what is it you want from me you speak of Ragnarok is it a God of War you came to find is that the Tyr you need
418;33;Kratos;Male;Atreus?
419;33;Atreus;Male;I…
420;33;Tyr;Male;Forgive me that I am grateful for my freedom but if you want me to follow you to war or worse yet lead you to it then kill me now my fight is gone damage is done
421;33;Mimir;Male;no one's killing you brother
422;33;Tyr;Male;Better that than to live to see Ragnarok
423;33;Kratos;Male;we do not seek war
424;33;Atreus;Male;we just want some answers
425;33;Tyr;Male;I don't know how to help you
426;33;Atreus;Male;it doesn't matter the Giants trusted you that's the Tyr we need we need you
427;33;Tyr;Male;alright all I ask is for a good night's rest and maybe some food I think you killed the guards bringing me dinner
428;33;Mimir;Male;brother perhaps now you'd like to finish the story
429;33;Kratos;Male;Hm. The sons of Thor attacked us we killed them. Baldur tried to kill Freya I killed him.
